DivisionNm,OTH,ALP,LNP,PartyAb,Year
Adelaide,12.78856552,41.92251634,45.28891814,ALP,2004
Aston,10.28301308,31.16704525,58.54994168,LNP,2004
Ballarat,10.42431904,45.00071555,44.57496542,ALP,2004
Banks,13.24439236,44.61039492,42.14521272,ALP,2004
Barker,14.76288114,21.47187865,63.76524021,LNP,2004
Barton,10.89884164,49.65625799,39.44490038,ALP,2004
Bass,11.64336392,39.22388251,49.13275357,LNP,2004
Batman,18.29897933,55.68267789,26.01834278,ALP,2004
Bendigo,11.03053002,43.5319487,45.43752128,ALP,2004
Bennelong,21.70047127,28.40497826,49.89455047,LNP,2004
Berowra,17.70036635,26.15977891,56.13985475,LNP,2004
Blair,16.37177339,31.43639721,52.1918294,LNP,2004
Blaxland,15.18875444,53.78885588,31.02238968,ALP,2004
Bonner,13.11808332,42.75137852,44.13053817,LNP,2004
Boothby,13.54282665,35.83542131,50.62175204,LNP,2004
Bowman,9.883175468,35.51131617,54.60550836,LNP,2004
Braddon,9.58988686,43.05339034,47.3567228,LNP,2004
Bradfield,15.69766002,20.71932648,63.5830135,LNP,2004
Brand,13.02088956,47.08517759,39.89393285,ALP,2004
Brisbane,14.71578231,42.46813661,42.81608109,ALP,2004
Bruce,9.604721418,47.30213764,43.09314094,ALP,2004
Calare,54.49873362,16.52322522,28.97804116,OTH,2004
Calwell,12.81624836,50.01007963,37.17367201,ALP,2004
Canberra,13.1369316,49.87584179,36.9872266,ALP,2004
Canning,14.38698525,32.87592297,52.73709178,LNP,2004
Capricornia,12.03027551,47.21041477,40.75930972,ALP,2004
Casey,13.47232352,29.87953625,56.64814023,LNP,2004
Charlton,18.74478063,45.94976553,35.30545384,ALP,2004
Chifley,14.89988635,55.89527003,29.20484362,ALP,2004
Chisholm,12.39110883,43.99460362,43.61428755,ALP,2004
Cook,14.28264114,27.68732269,58.03003617,LNP,2004
Corangamite,11.19656908,36.74889535,52.05453557,LNP,2004
Corio,13.03143367,46.67631681,40.29224952,ALP,2004
Cowan,11.73967689,43.87159278,44.38873033,ALP,2004
Cowper,17.77995186,32.01858837,50.20145978,LNP,2004
Cunningham,31.53231861,39.64371033,28.82397106,ALP,2004
Curtin,16.66578551,23.74897565,59.58523884,LNP,2004
Dawson,20.51723927,31.32035346,48.16240726,LNP,2004
Deakin,13.25602097,36.15053657,50.59344246,LNP,2004
Denison,17.9242918,49.5142893,32.5614189,ALP,2004
Dickson,12.53729,35.37447009,52.08823991,LNP,2004
Dobell,14.10382238,36.3630335,49.53314412,LNP,2004
Dunkley,10.89357188,33.56922409,55.53720403,LNP,2004
Eden-Monaro,12.783787,38.74004517,48.47616784,LNP,2004
Fadden,12.41821789,28.026114,59.55566812,LNP,2004
Fairfax,20.55032856,27.153736,52.29593544,LNP,2004
Farrer,13.71801779,22.80510401,63.47687819,LNP,2004
Fisher,15.2893699,28.84003092,55.87059918,LNP,2004
Flinders,10.93991127,30.88951582,58.17057292,LNP,2004
Forde,13.59892127,31.21637318,55.18470555,LNP,2004
Forrest,18.64811184,27.92896203,53.42292612,LNP,2004
Fowler,11.26375971,62.77697187,25.95926842,ALP,2004
Franklin,14.90951945,46.42342105,38.6670595,ALP,2004
Fraser,15.8002001,50.60028903,33.59951088,ALP,2004
Fremantle,19.47816035,44.57930807,35.94253158,ALP,2004
Gellibrand,13.81012339,54.62477965,31.56509695,ALP,2004
Gilmore,14.42124053,31.00073648,54.57802299,LNP,2004
Gippsland,15.91737546,34.6091535,49.47347104,LNP,2004
Goldstein,13.55596814,30.46489471,55.97913715,LNP,2004
Gorton,8.209869802,59.37170107,32.41842913,ALP,2004
Grayndler,24.51247947,51.18170738,24.30581315,ALP,2004
Greenway,15.99520289,40.049289,43.95550811,LNP,2004
Grey,13.1918904,30.31330452,56.49480508,LNP,2004
Griffith,13.96050671,48.74192747,37.29756582,ALP,2004
Groom,15.66293184,23.97660819,60.36045997,LNP,2004
Gwydir,15.10053832,22.95229048,61.94717121,LNP,2004
Hasluck,16.34472927,38.29005116,45.36521958,LNP,2004
Herbert,14.01715759,36.2386674,49.74417501,LNP,2004
Higgins,14.30356264,30.4976085,55.19882886,LNP,2004
Hindmarsh,11.79550319,42.32849285,45.87600396,ALP,2004
Hinkler,13.63942007,39.12633156,47.23424837,LNP,2004
Holt,11.48101405,45.66551897,42.85346697,ALP,2004
Hotham,9.81365991,51.21837751,38.96796258,ALP,2004
Hughes,13.43625145,31.27876397,55.28498457,LNP,2004
Hume,14.12299558,28.24352037,57.63348405,LNP,2004
Hunter,19.58899692,53.59658696,26.81441611,ALP,2004
Indi,11.14010923,26.23121164,62.62867914,LNP,2004
Isaacs,12.40066619,44.3076374,43.29169641,ALP,2004
Jagajaga,12.88798999,44.77945217,42.33255784,ALP,2004
Kalgoorlie,22.62035138,31.91528744,45.46436119,LNP,2004
Kennedy,52.47922217,23.68857188,23.83220595,OTH,2004
Kingsford Smith,14.00933321,49.74762248,36.24304431,ALP,2004
Kingston,14.12314426,42.28780978,43.58904596,LNP,2004
Kooyong,16.32320293,29.01401031,54.66278676,LNP,2004
La Trobe,15.01331515,33.77159692,51.21508793,LNP,2004
Lalor,9.304593777,53.24904906,37.44635716,ALP,2004
Leichhardt,15.31787063,31.33581734,53.34631203,LNP,2004
Lilley,9.930749605,48.88105941,41.18819099,ALP,2004
Lindsay,14.80822405,37.11911737,48.07265858,LNP,2004
Lingiari,10.98397637,50.65699202,38.35903161,ALP,2004
Longman,12.39360197,35.73173554,51.87466248,LNP,2004
Lowe,14.3741412,42.89341098,42.73244782,ALP,2004
Lyne,16.9208816,26.77051107,56.30860733,LNP,2004
Lyons,13.1107223,44.5563185,42.3329592,ALP,2004
Macarthur,12.43488444,33.09149157,54.47362399,LNP,2004
Mackellar,22.92346058,19.81200844,57.26453098,LNP,2004
Macquarie,18.97192115,27.75939659,53.26868226,LNP,2004
Makin,12.26857857,43.02492866,44.70649277,LNP,2004
Mallee,11.27064576,20.31363663,68.41571761,LNP,2004
Maranoa,17.18582034,22.30400526,60.5101744,LNP,2004
Maribyrnong,11.16632938,51.3295079,37.50416272,ALP,2004
Mayo,29.87120947,16.49217498,53.63661554,LNP,2004
McEwen,13.70770322,34.55238052,51.73991626,LNP,2004
McMillan,10.36841617,37.85578873,51.7757951,LNP,2004
McPherson,10.91895882,30.12659266,58.95444852,LNP,2004
Melbourne,23.13063396,51.77946899,25.08989705,ALP,2004
Melbourne Ports,17.80097016,39.25474056,42.94428928,ALP,2004
Menzies,10.42848878,32.78597718,56.78553404,LNP,2004
Mitchell,14.80870129,20.83711608,64.35418263,LNP,2004
Moncrieff,11.70363444,23.91743788,64.37892768,LNP,2004
Moore,13.21338495,31.44759223,55.33902282,LNP,2004
Moreton,11.76978125,39.11587068,49.11434807,LNP,2004
Murray,14.69962819,19.77069525,65.52967656,LNP,2004
New England,62.59494536,8.687112293,28.71794234,OTH,2004
Newcastle,18.47561426,45.98243931,35.54194643,ALP,2004
North Sydney,16.49646504,27.26218531,56.24134964,LNP,2004
O'Connor,18.73330685,18.57168294,62.6950102,LNP,2004
Oxley,15.90070616,50.46718308,33.63211075,ALP,2004
Page,17.11399296,33.63387728,49.25212976,LNP,2004
Parkes,8.227251609,31.28426362,60.48848477,LNP,2004
Parramatta,14.35827701,41.5496807,44.09204229,ALP,2004
Paterson,11.95920423,36.05263158,51.98816419,LNP,2004
